,status,bus_age,year,count
0,充電中,電巴車齡3年,2023,50
1,值勤中,電巴車齡3年,2023,93
2,備用中,電巴車齡3年,2023,89
3,閒置中,電巴車齡3年,2023,64
4,充電中,電巴車齡5年,2023,42
5,值勤中,電巴車齡5年,2023,21
6,備用中,電巴車齡5年,2023,76
7,閒置中,電巴車齡5年,2023,8
8,充電中,電巴車齡4年,2023,32
9,值勤中,電巴車齡4年,2023,28
10,備用中,電巴車齡4年,2023,8
11,閒置中,電巴車齡4年,2023,88
12,充電中,電巴車齡2年,2023,25
13,值勤中,電巴車齡2年,2023,20
14,備用中,電巴車齡2年,2023,15
15,閒置中,電巴車齡2年,2023,2
16,充電中,電巴車齡超過5年,2023,28
17,值勤中,電巴車齡超過5年,2023,44
18,備用中,電巴車齡超過5年,2023,77
19,閒置中,電巴車齡超過5年,2023,77
20,充電中,電巴車齡不到1年,2023,12
21,值勤中,電巴車齡不到1年,2023,19
22,備用中,電巴車齡不到1年,2023,71
23,閒置中,電巴車齡不到1年,2023,90
