,route_name,bus_age,yyyymmdd,driven_distance_estimation
0,60覺民幹線,電巴車齡不到1年,2019-07-15,71
1,橘12(白天延駛澄清湖),電巴車齡不到1年,2019-07-15,19
2,橘11A,電巴車齡不到1年,2019-07-15,85
3,橘11A區間車,電巴車齡不到1年,2019-07-15,88
4,橘11B,電巴車齡不到1年,2019-07-15,63
5,60覺民幹線區間車,電巴車齡不到1年,2019-07-15,69
6,E04燕巢學園快線,電巴車齡不到1年,2019-07-15,42
7,60覺民幹線,電巴車齡1年,2019-07-15,73
8,橘12(白天延駛澄清湖),電巴車齡1年,2019-07-15,43
9,橘11A,電巴車齡1年,2019-07-15,40
10,橘11A區間車,電巴車齡1年,2019-07-15,2
11,橘11B,電巴車齡1年,2019-07-15,15
12,60覺民幹線區間車,電巴車齡1年,2019-07-15,71
13,E04燕巢學園快線,電巴車齡1年,2019-07-15,40
14,60覺民幹線,電巴車齡5年,2019-07-15,33
15,橘12(白天延駛澄清湖),電巴車齡5年,2019-07-15,100
16,橘11A,電巴車齡5年,2019-07-15,88
17,橘11A區間車,電巴車齡5年,2019-07-15,49
18,橘11B,電巴車齡5年,2019-07-15,11
19,60覺民幹線區間車,電巴車齡5年,2019-07-15,56
20,E04燕巢學園快線,電巴車齡5年,2019-07-15,9
21,60覺民幹線,電巴車齡2年,2019-07-15,58
22,橘12(白天延駛澄清湖),電巴車齡2年,2019-07-15,93
23,橘11A,電巴車齡2年,2019-07-15,2
24,橘11A區間車,電巴車齡2年,2019-07-15,91
25,橘11B,電巴車齡2年,2019-07-15,80
26,60覺民幹線區間車,電巴車齡2年,2019-07-15,45
27,E04燕巢學園快線,電巴車齡2年,2019-07-15,54
28,60覺民幹線,電巴車齡4年,2019-07-15,51
29,橘12(白天延駛澄清湖),電巴車齡4年,2019-07-15,99
30,橘11A,電巴車齡4年,2019-07-15,17
31,橘11A區間車,電巴車齡4年,2019-07-15,62
32,橘11B,電巴車齡4年,2019-07-15,11
33,60覺民幹線區間車,電巴車齡4年,2019-07-15,99
34,E04燕巢學園快線,電巴車齡4年,2019-07-15,12
35,60覺民幹線,電巴車齡3年,2019-07-15,6
36,橘12(白天延駛澄清湖),電巴車齡3年,2019-07-15,52
37,橘11A,電巴車齡3年,2019-07-15,99
38,橘11A區間車,電巴車齡3年,2019-07-15,65
39,橘11B,電巴車齡3年,2019-07-15,23
40,60覺民幹線區間車,電巴車齡3年,2019-07-15,75
41,E04燕巢學園快線,電巴車齡3年,2019-07-15,2
