ts,bus_age,status,count
2023-05,電巴車齡4年,充電中,54
2023-06,電巴車齡4年,充電中,24
2023-07,電巴車齡4年,充電中,76
2023-08,電巴車齡4年,充電中,19
2023-09,電巴車齡4年,充電中,32
2023-10,電巴車齡4年,充電中,35
2023-05,電巴車齡4年,值勤中,34
2023-06,電巴車齡4年,值勤中,64
2023-07,電巴車齡4年,值勤中,39
2023-08,電巴車齡4年,值勤中,98
2023-09,電巴車齡4年,值勤中,62
2023-10,電巴車齡4年,值勤中,15
2023-05,電巴車齡4年,備用中,47
2023-06,電巴車齡4年,備用中,99
2023-07,電巴車齡4年,備用中,44
2023-08,電巴車齡4年,備用中,44
2023-09,電巴車齡4年,備用中,73
2023-10,電巴車齡4年,備用中,41
2023-05,電巴車齡4年,閒置中,56
2023-06,電巴車齡4年,閒置中,29
2023-07,電巴車齡4年,閒置中,4
2023-08,電巴車齡4年,閒置中,16
2023-09,電巴車齡4年,閒置中,19
2023-10,電巴車齡4年,閒置中,12
