,bus_age,route_name,day,total_charging_kw
0,電巴車齡不到1年,橘11B,2023-11-29,99
1,電巴車齡1年,橘11B,2023-11-29,38
2,電巴車齡2年,橘11B,2023-11-29,55
3,電巴車齡3年,橘11B,2023-11-29,1
4,電巴車齡4年,橘11B,2023-11-29,42
5,電巴車齡5年,橘11B,2023-11-29,6
6,電巴車齡超過5年,橘11B,2023-11-29,55
7,電巴車齡不到1年,橘11A,2023-11-29,44
8,電巴車齡1年,橘11A,2023-11-29,61
9,電巴車齡2年,橘11A,2023-11-29,57
10,電巴車齡3年,橘11A,2023-11-29,81
11,電巴車齡4年,橘11A,2023-11-29,87
12,電巴車齡5年,橘11A,2023-11-29,83
13,電巴車齡超過5年,橘11A,2023-11-29,7
14,電巴車齡不到1年,E04燕巢學園快線,2023-11-29,42
15,電巴車齡1年,E04燕巢學園快線,2023-11-29,59
16,電巴車齡2年,E04燕巢學園快線,2023-11-29,44
17,電巴車齡3年,E04燕巢學園快線,2023-11-29,4
18,電巴車齡4年,E04燕巢學園快線,2023-11-29,30
19,電巴車齡5年,E04燕巢學園快線,2023-11-29,100
20,電巴車齡超過5年,E04燕巢學園快線,2023-11-29,16
21,電巴車齡不到1年,橘11A區間車,2023-11-29,11
22,電巴車齡1年,橘11A區間車,2023-11-29,30
23,電巴車齡2年,橘11A區間車,2023-11-29,25
24,電巴車齡3年,橘11A區間車,2023-11-29,97
25,電巴車齡4年,橘11A區間車,2023-11-29,60
26,電巴車齡5年,橘11A區間車,2023-11-29,10
27,電巴車齡超過5年,橘11A區間車,2023-11-29,17
28,電巴車齡不到1年,60覺民幹線區間車,2023-11-29,73
29,電巴車齡1年,60覺民幹線區間車,2023-11-29,97
30,電巴車齡2年,60覺民幹線區間車,2023-11-29,44
31,電巴車齡3年,60覺民幹線區間車,2023-11-29,71
32,電巴車齡4年,60覺民幹線區間車,2023-11-29,71
33,電巴車齡5年,60覺民幹線區間車,2023-11-29,23
34,電巴車齡超過5年,60覺民幹線區間車,2023-11-29,52
35,電巴車齡不到1年,60覺民幹線,2023-11-29,58
36,電巴車齡1年,60覺民幹線,2023-11-29,54
37,電巴車齡2年,60覺民幹線,2023-11-29,85
38,電巴車齡3年,60覺民幹線,2023-11-29,11
39,電巴車齡4年,60覺民幹線,2023-11-29,79
40,電巴車齡5年,60覺民幹線,2023-11-29,94
41,電巴車齡超過5年,60覺民幹線,2023-11-29,68
