ts,status,count
2004-09-01,值勤中,6
2004-09-02,值勤中,67
2004-09-03,值勤中,74
2004-09-04,值勤中,51
2004-09-05,值勤中,79
2004-09-06,值勤中,15
2004-09-07,值勤中,48
2004-09-08,值勤中,40
2004-09-09,值勤中,100
2004-09-10,值勤中,98
2004-09-11,值勤中,53
2004-09-12,值勤中,57
2004-09-13,值勤中,8
2004-09-14,值勤中,38
2004-09-15,值勤中,59
2004-09-16,值勤中,87
2004-09-17,值勤中,85
2004-09-18,值勤中,35
2004-09-19,值勤中,81
2004-09-20,值勤中,19
2004-09-21,值勤中,82
2004-09-22,值勤中,4
2004-09-23,值勤中,26
2004-09-24,值勤中,85
2004-09-25,值勤中,12
2004-09-26,值勤中,4
2004-09-27,值勤中,54
2004-09-28,值勤中,36
2004-09-29,值勤中,95
2004-09-30,值勤中,93
